Time,cs:altitude_agl,cs:altitude_amsl,cs:ground_elevation,cs:ground_speed_x,cs:ground_speed_y,cs:ground_speed_z,fc:altitude_raw,fc:control_mode,fc:course,fc:downlink_present,fc:gcs_link_quality,fc:ground_speed,fc:heading,fc:is_armed,fc:latitude,fc:longitude,fc:main_current,fc:main_voltage,fc:pitch,fc:rc_link_quality,fc:remaining_power_level,fc:roll,fc:satellite_count,fc:takeoff_latitude,fc:takeoff_longitude,fc:uplink_present,fc:vertical_speed,gb:heading,gb:pitch,gb:roll
2017-07-18T16:16:49.560,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-21.599999975318404,false,64.84101148175677,-147.71852695404934,0.981,15.306,2.0999999976004,1.0,0.46,-2.0999999976004,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-26.100000351646127,0.0,0.0
2017-07-18T16:16:49.572,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-22.699999974061463,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.5999999981717334,1.0,0.46,-2.0999999976004,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-26.100000351646127,0.0,0.0
2017-07-18T16:16:49.722,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-23.29999997337587,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.3999999984002665,1.0,0.46,-2.0999999976004,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-26.100000351646127,0.0,0.0
2017-07-18T16:16:49.873,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-24.2999999722332,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.899999997828933,1.0,0.46,-2.3999999972576,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-26.100000351646127,0.0,0.0
2017-07-18T16:16:49.961,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-24.2999999722332,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.899999997828933,1.0,0.46,-2.3999999972576,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.22,61.13665771484375,197.2212371826172,136.08457946777344,3.589793527422913E-10,-0.10000000149011612,0.10000000149011612,0.0,0.0,179.99999979432,true,1.0,0.10000000149011612,-24.899999971547597,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.6999999980574665,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.172,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,179.99999979432,true,1.0,0.0,-25.89999997040493,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.7999999979431998,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.295,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,179.99999979432,true,1.0,0.0,-25.89999997040493,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.7999999979431998,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.322,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,179.99999979432,true,1.0,0.0,-26.399999969833594,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.6999999980574665,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.361,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,179.99999979432,true,1.0,0.0,-26.399999969833594,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.6999999980574665,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.472,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,179.99999979432,true,1.0,0.0,-27.39999996869093,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.5999999981717334,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.623,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,179.99999979432,true,1.0,0.0,-27.899999968119598,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.6999999980574665,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.728,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,179.99999979432,true,1.0,0.0,-27.899999968119598,false,64.84101148175677,-147.71852695404934,0.996,15.306,1.6999999980574665,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-25.60000035221746,0.0,0.0
2017-07-18T16:16:50.762,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,179.99999979432,true,1.0,0.0,-27.899999968119598,false,64.84101148175677,-147.71852695404934,0.996,15.306,1.6999999980574665,1.0,0.46,-2.2999999973718666,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-25.89999958893521,0.0,0.0
